ID,Neutral,Positive,Negative,Total,Difference,P_N ratio,Difference ratio,Decile
4275546,33.0,24.0,1.0,58.0,23.0,24.0,0.39655,9
4401351,44.0,44.0,2.0,90.0,42.0,22.0,0.46667,10
4318424,37.0,49.0,3.0,89.0,46.0,16.33333,0.51685,10
4502422,27.0,35.0,8.0,70.0,27.0,4.375,0.38571,9
4460855,34.0,40.0,4.0,78.0,36.0,10.0,0.46154,10
4358872,49.0,32.0,2.0,83.0,30.0,16.0,0.36145,9
4257358,43.0,36.0,6.0,85.0,30.0,6.0,0.35294,9
4383346,64.0,64.0,7.0,135.0,57.0,9.14286,0.42222,10
4481536,58.0,49.0,6.0,113.0,43.0,8.16667,0.38053,9
4462101,52.0,36.0,5.0,93.0,31.0,7.2,0.33333,8
4341754,37.0,37.0,16.0,90.0,21.0,2.3125,0.23333,6
4301059,60.0,28.0,18.0,106.0,10.0,1.55556,0.09434,3
4441761,66.0,8.0,48.0,122.0,-40.0,0.16667,-0.32787,1
4280216,36.0,15.0,16.0,67.0,-1.0,0.9375,-0.01493,2
4362695,53.0,67.0,6.0,126.0,61.0,11.16667,0.48413,10
4320279,50.0,24.0,6.0,80.0,18.0,4.0,0.225,6
4421727,62.0,49.0,11.0,122.0,38.0,4.45455,0.31148,8
4401051,55.0,40.0,2.0,97.0,38.0,20.0,0.39175,9
4503681,50.0,30.0,5.0,85.0,25.0,6.0,0.29412,7
4503721,54.0,34.0,11.0,99.0,23.0,3.09091,0.23232,6
4401741,50.0,54.0,2.0,106.0,52.0,27.0,0.49057,10
4256772,64.0,34.0,5.0,103.0,29.0,6.8,0.28155,7
4362743,47.0,24.0,2.0,73.0,22.0,12.0,0.30137,8
4344493,38.0,2.0,18.0,58.0,-16.0,0.11111,-0.27586,1
4462491,38.0,34.0,3.0,75.0,31.0,11.33333,0.41333,10
4382663,50.0,28.0,1.0,79.0,27.0,28.0,0.34177,8
4298808,58.0,27.0,8.0,93.0,19.0,3.375,0.2043,5
4320241,56.0,29.0,3.0,88.0,26.0,9.66667,0.29545,7
4277695,59.0,25.0,5.0,89.0,20.0,5.0,0.22472,6
4482122,54.0,38.0,1.0,93.0,37.0,38.0,0.39785,9
4421665,60.0,39.0,4.0,103.0,35.0,9.75,0.33981,8
4441774,58.0,33.0,3.0,94.0,30.0,11.0,0.31915,8
4480691,77.0,10.0,25.0,112.0,-15.0,0.4,-0.13393,2
4360097,70.0,44.0,15.0,129.0,29.0,2.93333,0.22481,6
4420150,79.0,12.0,53.0,144.0,-41.0,0.22642,-0.28472,1
4502515,71.0,8.0,33.0,112.0,-25.0,0.24242,-0.22321,1
4275315,73.0,48.0,27.0,148.0,21.0,1.77778,0.14189,4
4296939,91.0,19.0,44.0,154.0,-25.0,0.43182,-0.16234,2
4317460,85.0,45.0,21.0,151.0,24.0,2.14286,0.15894,4
4380476,71.0,11.0,40.0,122.0,-29.0,0.275,-0.2377,1
4440509,65.0,31.0,17.0,113.0,14.0,1.82353,0.12389,4
4460956,78.0,36.0,11.0,125.0,25.0,3.27273,0.2,5
4254838,78.0,39.0,13.0,130.0,26.0,3.0,0.2,5
4400291,77.0,56.0,13.0,146.0,43.0,4.30769,0.29452,7
4339288,55.0,29.0,15.0,99.0,14.0,1.93333,0.14141,4
4375776,46.0,28.0,10.0,84.0,18.0,2.8,0.21429,5
4431216,47.0,43.0,9.0,99.0,34.0,4.77778,0.34343,9
4410818,27.0,12.0,44.0,83.0,-32.0,0.27273,-0.38554,1
4514168,36.0,8.0,11.0,55.0,-3.0,0.72727,-0.05455,2
4456419,30.0,31.0,7.0,68.0,24.0,4.42857,0.35294,9
4491761,22.0,41.0,1.0,64.0,40.0,41.0,0.625,10
4311689,40.0,34.0,3.0,77.0,31.0,11.33333,0.4026,10
4350122,43.0,15.0,7.0,65.0,8.0,2.14286,0.12308,4
4473914,24.0,31.0,9.0,64.0,22.0,3.44444,0.34375,9
4293285,29.0,16.0,2.0,47.0,14.0,8.0,0.29787,7
4393704,21.0,28.0,2.0,51.0,26.0,14.0,0.5098,10
4329281,30.0,18.0,7.0,55.0,11.0,2.57143,0.2,5
4265623,35.0,24.0,6.0,65.0,18.0,4.0,0.27692,7
4425288,64.0,19.0,37.0,120.0,-18.0,0.51351,-0.15,2
4482281,51.0,44.0,6.0,101.0,38.0,7.33333,0.37624,9
4280435,50.0,37.0,5.0,92.0,32.0,7.4,0.34783,9
4403612,51.0,22.0,4.0,77.0,18.0,5.5,0.23377,6
4385540,181.0,31.0,5.0,217.0,26.0,6.2,0.11982,3
