ID,Neutral,Positive,Negative,Total,Difference,P_N ratio,Difference ratio,Decile
4256402,82.0,4.0,16.0,102.0,-12.0,0.25,-0.11765,2
4507411,50.0,9.0,11.0,70.0,-2.0,0.81818,-0.02857,2
4339635,87.0,9.0,20.0,116.0,-11.0,0.45,-0.09483,2
4447324,63.0,21.0,8.0,92.0,13.0,2.625,0.1413,4
4360386,103.0,6.0,30.0,139.0,-24.0,0.2,-0.17266,1
4403626,70.0,19.0,8.0,97.0,11.0,2.375,0.1134,3
4450771,39.0,50.0,3.0,92.0,47.0,16.66667,0.51087,10
4286157,24.0,31.0,1.0,56.0,30.0,31.0,0.53571,10
4407283,41.0,60.0,2.0,103.0,58.0,30.0,0.56311,10
4264799,41.0,42.0,8.0,91.0,34.0,5.25,0.37363,9
4430349,36.0,51.0,0.0,87.0,51.0,inf,0.58621,10
4513283,46.0,35.0,7.0,88.0,28.0,5.0,0.31818,8
4347820,39.0,35.0,8.0,82.0,27.0,4.375,0.32927,8
4388702,40.0,48.0,1.0,89.0,47.0,48.0,0.52809,10
4368575,78.0,50.0,0.0,128.0,50.0,inf,0.39062,9
4323695,37.0,37.0,1.0,75.0,36.0,37.0,0.48,10
4470720,40.0,33.0,2.0,75.0,31.0,16.5,0.41333,9
4306892,35.0,31.0,3.0,69.0,28.0,10.33333,0.4058,9
4487638,65.0,34.0,7.0,106.0,27.0,4.85714,0.25472,6
4424330,40.0,25.0,5.0,70.0,20.0,5.0,0.28571,7
4487280,61.0,35.0,4.0,100.0,31.0,8.75,0.31,8
4258327,63.0,49.0,10.0,122.0,39.0,4.9,0.31967,8
