,id
0,4264085
1,4285738
2,4309111
3,4325101
4,4349475
5,4369599
6,4391129
7,4406522
8,4431288
9,4450247
10,4471346
11,4489224
12,4514243
13,4257331
14,4277702
15,4298807
16,4318656
17,4341573
18,4360357
19,4380763
20,4401834
21,4420728
22,4440726
23,4461196
24,4480643
25,4502789
40,4258275
41,4279301
42,4300690
43,4319666
44,4341792
45,4362707
46,4382943
47,4401478
48,4422230
49,4441901
50,4463261
51,4482308
52,4504834
53,4256898
54,4278187
55,4301605
56,4322499
57,4342124
58,4363134
59,4383381
60,4403215
61,4423075
62,4443372
63,4463602
64,4483642
65,4505115
78,4259080
79,4280210
80,4300982
81,4322034
82,4341676
83,4365330
84,4382771
85,4401649
86,4422532
87,4445496
88,4462940
89,4484208
90,4504582
91,4254989
92,4275546
93,4296862
94,4318424
95,4338017
96,4358872
97,4380361
98,4401351
99,4420105
100,4440671
101,4460855
102,4481794
103,4502422
146,4257358
147,4280216
148,4301059
149,4320279
150,4341754
151,4362695
152,4383346
153,4401051
154,4421727
155,4441761
156,4462101
157,4481536
158,4503681
159,4258675
160,4279772
161,4300506
162,4319902
163,4341064
164,4362040
165,4382132
166,4401352
167,4422159
168,4442105
169,4462541
170,4481816
171,4504053
172,4266259
173,4288298
174,4309356
175,4328006
176,4350424
177,4370775
178,4391427
179,4409229
180,4431840
181,4451877
182,4471660
183,4490326
184,4514889
185,4262175
186,4280963
187,4304658
188,4327507
189,4346774
190,4365893
191,4385682
192,4407624
193,4427512
194,4446176
195,4465677
196,4488441
197,4508154
198,4256699
199,4277689
200,4298822
201,4325823
202,4343657
203,4365410
204,4380587
205,4409085
206,4420741
207,4440795
208,4463016
209,4490208
210,4504662
211,4260932
212,4282266
213,4303241
214,4328361
215,4344264
216,4365327
217,4386249
218,4409076
219,4425224
220,4445450
221,4465483
222,4490709
223,4508151
224,4257225
225,4278193
226,4299176
227,4321739
228,4341698
229,4361897
230,4382117
231,4403393
232,4422637
233,4442739
234,4462992
235,4483955
236,4504673
237,4261066
238,4283343
239,4301585
240,4323992
241,4343179
242,4364308
243,4386116
244,4406734
245,4425682
246,4446137
247,4466000
248,4487944
249,4506822
250,4260943
251,4282622
252,4303226
253,4323478
254,4345436
255,4365031
256,4384513
257,4404966
258,4425514
259,4444924
260,4464944
261,4485511
262,4506755
277,4258327
278,4279325
279,4299758
280,4323329
281,4340787
282,4361639
283,4381908
284,4404774
285,4424330
286,4444576
287,4464722
288,4487280
289,4506532
290,4262247
291,4283447
292,4303939
293,4325775
294,4344179
295,4365442
296,4385475
297,4407143
298,4425160
299,4445593
300,4465511
301,4487947
302,4507436
303,4256528
304,4277285
305,4298440
306,4320029
307,4341274
308,4360074
309,4380467
310,4403260
311,4422281
312,4442359
313,4462705
314,4483750
315,4504270
316,4256963
317,4277864
318,4298923
319,4319678
320,4343308
321,4360433
322,4380749
323,4401146
324,4420736
325,4440835
326,4461262
327,4482190
328,4502784
329,4259328
330,4279767
331,4300555
332,4321757
333,4343701
334,4364716
335,4385485
336,4403468
337,4425108
338,4445564
339,4465493
340,4484040
341,4507325
354,4264799
355,4286157
356,4306892
357,4323695
358,4347820
359,4368575
360,4388702
361,4407283
362,4430349
363,4450771
364,4470720
365,4487638
366,4513283
399,4258663
400,4279125
401,4301001
402,4321685
403,4343211
404,4364422
405,4382637
406,4403395
407,4424223
408,4444351
409,4464475
410,4484041
411,4506238
424,4256772
425,4277695
426,4298808
427,4320241
428,4344493
429,4362743
430,4382663
431,4401741
432,4421665
433,4441774
434,4462491
435,4482122
436,4503721
463,4256968
464,4277843
465,4298941
466,4320409
467,4341815
468,4362687
469,4382898
470,4402939
471,4422723
472,4442839
473,4463311
474,4484212
475,4504852
476,4259433
477,4280524
478,4301305
479,4324128
480,4343380
481,4364492
482,4384258
483,4407251
484,4424363
485,4444183
486,4464252
487,4486943
488,4505960
489,4259189
490,4282122
491,4303776
492,4327834
493,4344715
494,4365535
495,4385383
496,4409096
497,4425295
498,4445526
499,4465576
500,4490191
501,4507518
502,4256341
503,4277100
504,4298318
505,4319822
506,4341126
507,4361923
508,4382208
509,4401440
510,4420290
511,4440462
512,4460861
513,4481776
514,4502425
515,4257217
516,4278216
517,4299222
518,4320655
519,4342064
520,4363045
521,4383328
522,4403931
523,4423002
524,4443200
525,4463535
526,4484511
527,4505113
528,4258208
529,4279184
530,4299968
531,4319576
532,4343312
533,4362659
534,4382770
535,4401781
536,4422613
537,4442770
538,4463137
539,4482227
540,4504668
541,4259327
542,4280353
543,4301237
544,4327863
545,4344390
546,4362586
547,4385472
548,4409165
549,4425298
550,4445649
551,4465554
552,4489120
553,4507511
554,4256402
555,4277641
556,4304078
557,4318987
558,4339635
559,4360386
560,4388121
561,4403626
562,4426988
563,4447324
564,4465706
565,4484450
566,4507411
567,4256480
568,4277272
569,4298452
570,4318476
571,4339267
572,4360000
573,4380445
574,4401475
575,4422177
576,4442263
577,4462674
578,4481900
579,4504249
580,4259294
581,4279647
582,4300447
583,4320314
584,4343167
585,4362514
586,4382659
587,4403098
588,4425130
589,4445561
590,4465453
591,4484073
592,4507516
593,4258283
594,4279280
595,4300182
596,4321420
597,4340799
598,4361610
599,4381936
600,4402900
601,4421777
602,4441859
603,4462256
604,4483341
605,4503820
606,4261512
607,4283501
608,4304160
609,4321601
610,4345201
611,4366561
612,4388538
613,4403061
614,4425202
615,4445448
616,4468851
617,4485595
618,4507447
630,4256896
631,4280462
632,4300206
633,4322311
634,4344408
635,4362656
636,4382867
637,4403622
638,4422686
639,4442844
640,4463244
641,4484183
642,4504793
655,4256420
656,4276853
657,4298374
658,4319981
659,4341235
660,4361163
661,4380418
662,4403216
663,4422186
664,4442258
665,4462623
666,4483736
667,4503746
680,4255382
681,4276088
682,4297292
683,4318952
684,4339886
685,4360706
686,4381034
687,4401111
688,4420971
689,4441063
690,4461527
691,4481564
692,4502964
693,4265623
694,4293285
695,4311689
696,4329281
697,4350122
698,4375776
699,4393704
700,4410818
701,4431216
702,4456419
703,4473914
704,4491761
705,4514168
706,4256364
707,4277221
708,4298308
709,4319918
710,4341151
711,4362036
712,4382256
713,4401426
714,4422151
715,4442247
716,4462561
717,4481827
718,4504066
719,4254779
720,4275569
